benchmark,tamanho,teste_omnibus,omnibus_p,levene_p,par,metodo_par,p_par,p_par_holm,diferenca_signif_holm,mais_rapido
nbodies,15000,Kruskal-Wallis,1.210475665239142e-15,0.2331220060014963,CUDA vs PolyHok,Mann-Whitney,2.926546016458766e-11,8.779638049376298e-11,True,CUDA
nbodies,15000,Kruskal-Wallis,1.210475665239142e-15,0.2331220060014963,Numba vs PolyHok,Mann-Whitney,5.075827077697225e-06,5.075827077697225e-06,True,CUDA
nbodies,20000,Kruskal-Wallis,5.969254453741779e-15,0.29759821396954195,CUDA vs Numba,Mann-Whitney,3.0104073709630884e-11,8.957875112609479e-11,True,CUDA
nbodies,20000,Kruskal-Wallis,5.969254453741779e-15,0.29759821396954195,CUDA vs PolyHok,Mann-Whitney,2.9859583708698266e-11,8.957875112609479e-11,True,CUDA
nbodies,20000,Kruskal-Wallis,5.969254453741779e-15,0.29759821396954195,Numba vs PolyHok,Mann-Whitney,0.0002120859890376603,0.0002120859890376603,True,CUDA
nbodies,25000,Kruskal-Wallis,7.367781687102283e-17,0.23831459647157646,CUDA vs Numba,Mann-Whitney,3.004749140670014e-11,8.879494124373421e-11,True,CUDA
nbodies,25000,Kruskal-Wallis,7.367781687102283e-17,0.23831459647157646,CUDA vs PolyHok,Mann-Whitney,2.9598313747911405e-11,8.879494124373421e-11,True,CUDA
nbodies,25000,Kruskal-Wallis,7.367781687102283e-17,0.23831459647157646,Numba vs PolyHok,Mann-Whitney,7.68416195275464e-09,7.68416195275464e-09,True,CUDA
nbodies,30000,Kruskal-Wallis,2.2929701299517325e-17,0.40753922840265244,CUDA vs Numba,Mann-Whitney,2.967274866039994e-11,8.561393615999061e-11,True,CUDA
nbodies,30000,Kruskal-Wallis,2.2929701299517325e-17,0.40753922840265244,CUDA vs PolyHok,Mann-Whitney,2.853797871999687e-11,8.561393615999061e-11,True,CUDA
nbodies,30000,Kruskal-Wallis,2.2929701299517325e-17,0.40753922840265244,Numba vs PolyHok,Mann-Whitney,5.386304382927513e-10,5.386304382927513e-10,True,CUDA
nbodies,35000,Kruskal-Wallis,2.1507057699528613e-16,0.11467176554302921,CUDA vs Numba,Mann-Whitney,5.566552605969538e-10,7.576622943653625e-10,True,CUDA
nbodies,35000,Kruskal-Wallis,2.1507057699528613e-16,0.11467176554302921,CUDA vs PolyHok,Mann-Whitney,3.7883114718268123e-10,7.576622943653625e-10,True,CUDA
nbodies,35000,Kruskal-Wallis,2.1507057699528613e-16,0.11467176554302921,Numba vs PolyHok,Mann-Whitney,2.9953403131131725e-11,8.986020939339518e-11,True,CUDA
nearest_neighbor,20000000,Kruskal-Wallis,7.229797211212885e-16,0.29089295683374067,CUDA vs Numba,Mann-Whitney,3.0179667984904466e-11,9.014247422010041e-11,True,CUDA
nearest_neighbor,20000000,Kruskal-Wallis,7.229797211212885e-16,0.29089295683374067,CUDA vs PolyHok,Mann-Whitney,3.004749140670014e-11,9.014247422010041e-11,True,CUDA
nearest_neighbor,20000000,Kruskal-Wallis,7.229797211212885e-16,0.29089295683374067,Numba vs PolyHok,Mann-Whitney,1.4883130453563834e-06,1.4883130453563834e-06,True,CUDA
nearest_neighbor,40000000,Kruskal-Wallis,2.2233775536221953e-16,0.2674910967533989,CUDA vs Numba,Mann-Whitney,3.0179667984904466e-11,8.924206294486965e-11,True,CUDA
