"ferramenta","benchmark","tamanho","rodada","tempo_ms"
"CUDA","nbodies","15000","1","115.180000"
"CUDA","nearest_neighbor","100000000","1","932.370000"
"CUDA","julia","2000","1","112.630000"
"CUDA","nbodies","25000","1","395.630000"
"PolyHok","nearest_neighbor","20000000","1","661.000000"
"PolyHok","mm","3500","1","895.000000"
"Numba","saxpy","125000000","1","638.380000"
"CUDA","julia","500","1","7.370000"
"Numba","nearest_neighbor","80000000","1","1195.470000"
"CUDA","mm","2000","1","88.380000"
"Numba","julia","500","1","291.720000"
"PolyHok","mm","2500","1","495.000000"
"PolyHok","julia","2000","1","196.000000"
"Numba","julia","1000","1","329.650000"
"Numba","saxpy","150000000","1","799.430000"
"Numba","mm","2000","1","464.750000"
"PolyHok","julia","1000","1","94.000000"
"Numba","mm","3000","1","969.130000"
"Numba","mm","2500","1","668.250000"
"CUDA","mm","2500","1","209.590000"
"PolyHok","nbodies","20000","1","674.000000"
"CUDA","julia","2500","1","175.540000"
"Numba","saxpy","50000000","1","372.500000"
"PolyHok","nbodies","30000","1","900.000000"
"Numba","nearest_neighbor","100000000","1","1375.240000"
"PolyHok","nbodies","35000","1","1002.000000"
"PolyHok","saxpy","150000000","1","821.000000"
"CUDA","saxpy","150000000","1","380.090000"
"PolyHok","julia","500","2","72.000000"
"CUDA","julia","1000","2","28.320000"
"PolyHok","mm","2000","2","376.000000"
"PolyHok","mm","3500","2","867.000000"
"PolyHok","saxpy","50000000","2","407.000000"
"Numba","nbodies","15000","2","431.080000"
"CUDA","saxpy","100000000","2","274.930000"
"PolyHok","julia","2500","2","260.000000"
"Numba","nbodies","30000","2","644.750000"
"Numba","mm","2000","2","456.180000"
"CUDA","nearest_neighbor","20000000","2","188.840000"
"CUDA","saxpy","150000000","2","403.310000"
"CUDA","nearest_neighbor","60000000","2","577.010000"
"Numba","nearest_neighbor","20000000","2","525.420000"
"CUDA","mm","2000","2","87.100000"
"PolyHok","julia","1000","2","94.000000"
"CUDA","saxpy","50000000","2","125.740000"
"CUDA","nbodies","15000","2","115.210000"
"PolyHok","saxpy","75000000","2","506.000000"
"Numba","saxpy","150000000","2","676.680000"
"PolyHok","nbodies","30000","2","907.000000"
"CUDA","nearest_neighbor","100000000","2","928.020000"
"PolyHok","mm","2500","2","497.000000"
"CUDA","julia","2000","2","114.410000"
"CUDA","julia","2500","2","179.500000"
"Numba","nearest_neighbor","60000000","2","972.740000"
"CUDA","julia","500","2","7.240000"
"CUDA","mm","2500","2","188.180000"
"Numba","saxpy","50000000","2","377.970000"
"Numba","nearest_neighbor","80000000","2","1143.980000"
"PolyHok","saxpy","125000000","2","656.000000"
"Numba","nbodies","25000","2","587.190000"
"Numba","mm","4000","2","1940.390000"
"CUDA","nearest_neighbor","40000000","2","378.990000"
"Numba","mm","2500","2","663.980000"
"PolyHok","nbodies","35000","2","1001.000000"
"PolyHok","nearest_neighbor","20000000","2","587.000000"
"Numba","saxpy","125000000","2","606.610000"
"CUDA","mm","3000","2","303.210000"
"PolyHok","saxpy","100000000","2","570.000000"
"CUDA","saxpy","75000000","2","188.490000"
"PolyHok","nearest_neighbor","100000000","2","1495.000000"
"PolyHok","nearest_neighbor","60000000","2","1020.000000"
"CUDA","nbodies","25000","2","395.300000"
"CUDA","nbodies","35000","2","688.010000"
"Numba","julia","1000","2","342.820000"
"CUDA","saxpy","125000000","2","340.390000"
"Numba","julia","2500","2","602.460000"
"Numba","saxpy","75000000","2","450.730000"
"PolyHok","mm","4000","2","1115.000000"
"CUDA","nbodies","30000","2","478.320000"
"Numba","mm","3500","2","1408.980000"
"PolyHok","julia","2000","2","193.000000"
"PolyHok","julia","1500","2","135.000000"
"Numba","nbodies","20000","2","541.530000"
"Numba","nbodies","35000","2","787.450000"
"PolyHok","nbodies","15000","2","464.000000"
"PolyHok","mm","3000","2","605.000000"
"PolyHok","nearest_neighbor","80000000","2","1272.000000"
"PolyHok","saxpy","150000000","2","844.000000"
"CUDA","nearest_neighbor","80000000","2","746.880000"
"CUDA","mm","4000","2","758.260000"
"Numba","mm","3000","2","981.030000"
"PolyHok","nbodies","20000","2","542.000000"
"Numba","julia","2000","2","473.210000"
"Numba","julia","1500","2","385.760000"
"CUDA","nbodies","20000","2","298.900000"
"Numba","nearest_neighbor","40000000","2","726.330000"
"Numba","nearest_neighbor","100000000","2","1351.240000"
"PolyHok","nearest_neighbor","40000000","2","799.000000"
"Numba","julia","500","2","294.560000"
"Numba","saxpy","100000000","2","529.370000"
"PolyHok","nbodies","25000","2","809.000000"
"CUDA","julia","1500","2","63.880000"
"CUDA","mm","3500","2","558.520000"
"Numba","julia","2500","3","591.720000"
"PolyHok","nearest_neighbor","60000000","3","1056.000000"
"CUDA","nbodies","15000","3","115.070000"
"PolyHok","julia","2500","3","248.000000"
"Numba","mm","3500","3","1391.460000"
"PolyHok","julia","1000","3","96.000000"
"PolyHok","mm","2500","3","459.000000"
"Numba","nbodies","25000","3","590.350000"
"Numba","nbodies","35000","3","797.310000"
"Numba","saxpy","150000000","3","717.830000"
"CUDA","julia","1000","3","29.220000"
"PolyHok","saxpy","125000000","3","645.000000"
"PolyHok","nbodies","20000","3","543.000000"
"Numba","nearest_neighbor","40000000","3","743.560000"
"Numba","nbodies","20000","3","529.140000"
"CUDA","julia","500","3","7.220000"
"CUDA","mm","4000","3","755.700000"
"Numba","julia","2000","3","473.290000"
"CUDA","julia","2000","3","112.550000"
"CUDA","nbodies","30000","3","478.280000"
"Numba","nbodies","15000","3","407.780000"
"PolyHok","nbodies","30000","3","902.000000"
"PolyHok","nbodies","25000","3","806.000000"
"CUDA","saxpy","100000000","3","250.630000"
"CUDA","nearest_neighbor","100000000","3","937.260000"
"PolyHok","nearest_neighbor","40000000","3","759.000000"
"CUDA","mm","3500","3","558.620000"
"Numba","nearest_neighbor","60000000","3","934.240000"
"PolyHok","saxpy","150000000","3","707.000000"
"PolyHok","nearest_neighbor","80000000","3","1276.000000"
"CUDA","mm","2500","3","188.600000"
"CUDA","saxpy","125000000","3","314.320000"
"PolyHok","julia","1500","3","132.000000"
"Numba","saxpy","100000000","3","532.620000"
"CUDA","saxpy","75000000","3","188.760000"
"PolyHok","mm","3500","3","860.000000"
"CUDA","nearest_neighbor","80000000","3","754.130000"
"CUDA","nbodies","20000","3","314.540000"
"Numba","mm","2500","3","672.440000"
"CUDA","saxpy","50000000","3","137.370000"
"PolyHok","nearest_neighbor","20000000","3","581.000000"
"Numba","saxpy","50000000","3","394.840000"
"PolyHok","saxpy","50000000","3","421.000000"
"Numba","julia","1000","3","325.200000"
"CUDA","nearest_neighbor","20000000","3","192.300000"
"CUDA","nbodies","25000","3","395.600000"
"Numba","mm","3000","3","967.910000"
"CUDA","nearest_neighbor","40000000","3","370.850000"
"CUDA","mm","2000","3","87.040000"
"PolyHok","julia","2000","3","188.000000"
"PolyHok","saxpy","100000000","3","570.000000"
"Numba","saxpy","75000000","3","450.390000"
"PolyHok","mm","4000","3","1074.000000"
"CUDA","saxpy","150000000","3","653.100000"
"Numba","julia","1500","3","663.660000"
"Numba","nearest_neighbor","20000000","3","1880.010000"
"Numba","mm","2000","3","974.540000"
"PolyHok","mm","2000","3","1978.000000"
"PolyHok","mm","3000","3","609.000000"
"Numba","nearest_neighbor","100000000","3","1363.730000"
"CUDA","mm","3000","3","414.050000"
"PolyHok","julia","500","3","88.000000"
"PolyHok","nearest_neighbor","100000000","3","2016.000000"
"CUDA","julia","1500","3","63.390000"
"Numba","nearest_neighbor","80000000","3","1165.730000"
"Numba","mm","4000","3","1935.690000"
"CUDA","julia","2500","3","175.650000"
"PolyHok","nbodies","15000","3","1026.000000"
"Numba","nbodies","30000","3","653.330000"
"PolyHok","saxpy","75000000","3","500.000000"
"PolyHok","nbodies","35000","3","999.000000"
"CUDA","nbodies","35000","3","688.350000"
"Numba","saxpy","125000000","3","600.560000"
"CUDA","nearest_neighbor","60000000","3","558.780000"
"Numba","julia","500","3","288.270000"
"CUDA","mm","2500","4","189.920000"
"Numba","mm","4000","4","1943.890000"
"Numba","saxpy","125000000","4","606.320000"
"PolyHok","saxpy","125000000","4","637.000000"
"CUDA","mm","4000","4","754.860000"
"CUDA","nbodies","25000","4","395.670000"
"PolyHok","mm","3000","4","619.000000"
"PolyHok","nbodies","30000","4","914.000000"
"PolyHok","julia","2000","4","193.000000"
"Numba","nearest_neighbor","40000000","4","743.070000"
"Numba","julia","1000","4","327.100000"
"Numba","nbodies","15000","4","404.740000"
"PolyHok","nearest_neighbor","40000000","4","805.000000"
"Numba","saxpy","100000000","4","532.120000"
"Numba","nbodies","20000","4","534.180000"
"Numba","julia","2500","4","584.700000"
"PolyHok","saxpy","75000000","4","511.000000"
"CUDA","nearest_neighbor","40000000","4","378.840000"
"CUDA","saxpy","125000000","4","313.920000"
"Numba","mm","3500","4","1397.210000"
"PolyHok","nbodies","25000","4","809.000000"
"CUDA","julia","1000","4","28.320000"
"CUDA","saxpy","100000000","4","252.000000"
"PolyHok","saxpy","50000000","4","393.000000"
"Numba","nearest_neighbor","20000000","4","526.260000"
"PolyHok","nearest_neighbor","60000000","4","1040.000000"
"Numba","julia","500","4","286.520000"
"Numba","saxpy","50000000","4","377.100000"
"CUDA","mm","2000","4","87.050000"
"Numba","nearest_neighbor","100000000","4","1350.340000"
"CUDA","julia","500","4","7.220000"
"Numba","nearest_neighbor","80000000","4","1141.110000"
"PolyHok","nbodies","20000","4","549.000000"
"Numba","nearest_neighbor","60000000","4","931.840000"
"Numba","julia","1500","4","385.130000"
"PolyHok","julia","1500","4","135.000000"
"CUDA","julia","1500","4","63.420000"
"CUDA","saxpy","50000000","4","131.860000"
"CUDA","nbodies","35000","4","701.460000"
"Numba","nbodies","25000","4","588.060000"
"Numba","saxpy","150000000","4","676.230000"
"PolyHok","mm","2000","4","386.000000"
"Numba","saxpy","75000000","4","455.110000"
"PolyHok","nbodies","35000","4","1008.000000"
"CUDA","nearest_neighbor","80000000","4","743.340000"
"PolyHok","saxpy","100000000","4","564.000000"
"PolyHok","julia","500","4","72.000000"
"CUDA","nbodies","15000","4","115.110000"
"CUDA","nearest_neighbor","60000000","4","557.290000"
"PolyHok","saxpy","150000000","4","711.000000"
"PolyHok","julia","2500","4","248.000000"
"CUDA","nbodies","30000","4","478.210000"
"PolyHok","mm","3500","4","888.000000"
"Numba","julia","2000","4","488.210000"
"CUDA","saxpy","150000000","4","419.880000"
"CUDA","mm","3500","4","562.080000"
"CUDA","mm","3000","4","304.080000"
"PolyHok","mm","2500","4","481.000000"
"Numba","nbodies","35000","4","800.350000"
"Numba","mm","2500","4","669.540000"
"CUDA","nearest_neighbor","100000000","4","941.250000"
"PolyHok","nearest_neighbor","80000000","4","1255.000000"
"CUDA","nbodies","20000","4","306.640000"
"PolyHok","mm","4000","4","1098.000000"
"Numba","mm","3000","4","976.820000"
"CUDA","julia","2000","4","115.850000"
"CUDA","saxpy","75000000","4","205.990000"
"Numba","nbodies","30000","4","656.020000"
"CUDA","julia","2500","4","178.910000"
"PolyHok","nearest_neighbor","20000000","4","572.000000"
"PolyHok","nearest_neighbor","100000000","4","1505.000000"
"Numba","mm","2000","4","465.850000"
"PolyHok","julia","1000","4","96.000000"
"CUDA","nearest_neighbor","20000000","4","186.530000"
"PolyHok","nbodies","15000","4","416.000000"
"Numba","nbodies","25000","5","589.240000"
"CUDA","nbodies","25000","5","395.510000"
"CUDA","nbodies","35000","5","687.890000"
"PolyHok","nearest_neighbor","80000000","5","1301.000000"
"CUDA","mm","3000","5","302.620000"
"CUDA","nearest_neighbor","20000000","5","186.140000"
"PolyHok","saxpy","75000000","5","506.000000"
"PolyHok","julia","2000","5","183.000000"
"CUDA","julia","2000","5","112.360000"
"CUDA","saxpy","50000000","5","125.880000"
"Numba","nbodies","30000","5","643.240000"
"Numba","julia","2500","5","584.210000"
"CUDA","nearest_neighbor","100000000","5","928.930000"
"CUDA","mm","3500","5","557.320000"
"Numba","nearest_neighbor","60000000","5","934.660000"
"CUDA","julia","500","5","7.230000"
"Numba","mm","4000","5","1936.870000"
"Numba","saxpy","50000000","5","374.900000"
"CUDA","nearest_neighbor","60000000","5","557.810000"
"PolyHok","julia","1500","5","220.000000"
"Numba","nbodies","15000","5","406.040000"
"Numba","saxpy","100000000","5","525.990000"
"CUDA","saxpy","125000000","5","312.150000"
"CUDA","mm","4000","5","760.130000"
"PolyHok","nbodies","25000","5","810.000000"
"PolyHok","julia","500","5","73.000000"
"PolyHok","nbodies","35000","5","964.000000"
"Numba","mm","3500","5","1389.750000"
"Numba","mm","2500","5","663.130000"
"PolyHok","nearest_neighbor","20000000","5","605.000000"
"PolyHok","saxpy","150000000","5","724.000000"
"Numba","mm","2000","5","456.270000"
"PolyHok","nearest_neighbor","100000000","5","1468.000000"
"Numba","julia","1500","5","386.830000"
"PolyHok","julia","1000","5","97.000000"
