benchmark,tamanho,ferramenta,n,media,desvio,cv_%,mediana,iqr,min,max,shapiro_W,shapiro_p,normal,anderson_A2,anderson_critico_5%
julia,500,CUDA,30,7.3066666666666675,0.19981600732075785,2.734708129389934,7.23,0.09000000000000075,7.21,8.26,0.4853564658158508,3.764887776212689e-09,False,5.082224643078604,0.712
julia,500,Numba,30,304.6773333333333,77.9848066517174,25.59586753583597,288.425,7.064999999999998,285.26,716.98,0.2194535466873463,1.569436934791268e-11,False,9.817279235498354,0.712
julia,500,PolyHok,30,146.3,231.9234638915353,158.5259493448635,74.0,4.5,71.0,1189.0,0.36732669017084274,2.724407976182912e-10,False,8.138594753290974,0.712
julia,1000,CUDA,30,28.572666666666667,0.8345138305224991,2.920671844382157,28.325,0.125,28.25,32.77,0.36831626508854876,2.7810512888185344e-10,False,6.966673915391759,0.712
julia,1000,Numba,30,394.03833333333336,319.38580798996423,81.0545018014231,328.71000000000004,7.09499999999997,322.57,2079.3,0.2185671587428788,1.5446432467662913e-11,False,9.976393031717798,0.712
julia,1000,PolyHok,30,107.5,39.59950365415168,36.83674758525738,96.0,2.75,92.0,287.0,0.3850846530152451,3.95472142570038e-10,False,7.984212616184514,0.712
julia,1500,CUDA,30,64.56366666666666,3.8908721505536543,6.02641137257847,63.595,0.4399999999999977,63.39,84.69,0.2995636796688086,6.995546710729675e-11,False,8.122198284654417,0.712
julia,1500,Numba,30,404.3116666666666,55.24205507446816,13.66323547621303,388.78999999999996,10.0625,384.72,663.66,0.36387774133954676,2.536290646159562e-10,False,7.781732694987028,0.712
julia,1500,PolyHok,30,172.3,90.4178613724767,52.476994412348624,133.5,5.5,129.0,445.0,0.5168611436595909,8.114274154777135e-09,False,6.698320618770296,0.712
julia,2000,CUDA,30,113.04666666666667,0.9280321536244946,0.8209283661241623,112.62,0.8500000000000085,112.24,115.85,0.7210028265765202,3.2010514966365287e-06,False,3.3129533297210685,0.712
julia,2000,Numba,30,521.766,147.8407357096562,28.334681774906034,475.615,17.180000000000007,471.59,1168.32,0.3708011519997515,2.928816685891041e-10,False,8.070490285442226,0.712
julia,2000,PolyHok,30,194.83333333333334,19.757291684657684,10.140611643109162,187.0,8.0,182.0,272.0,0.6027966454538218,7.89639565374643e-08,False,4.694108012180685,0.712
julia,2500,CUDA,30,176.63466666666667,1.5920962831162708,0.9013498387158452,175.85,1.1950000000000216,175.23,180.28,0.7038680527841699,1.77695415624502e-06,False,4.075144371758,0.712
julia,2500,Numba,30,599.5793333333332,28.41661351530405,4.739425116159895,590.7049999999999,7.422500000000127,584.21,701.47,0.5099469307655364,6.836935362012002e-09,False,5.859477901253314,0.712
julia,2500,PolyHok,30,314.1666666666667,212.6089308360878,67.67393023960355,254.0,10.25,246.0,1395.0,0.3344030682042507,1.39070752953211e-10,False,7.59168247195872,0.712
mm,2000,CUDA,30,87.62866666666669,1.5665110218601064,1.7876695851358833,87.16,0.727499999999992,86.78,95.5,0.4389000632729536,1.2817133952968392e-09,False,5.183216527908783,0.712
mm,2000,Numba,30,539.0256666666667,223.53481306720101,41.470161235463934,462.145,14.017500000000041,454.37,1429.44,0.4270286295991649,9.826295333862304e-10,False,7.834688068873035,0.712
mm,2000,PolyHok,30,470.53333333333336,346.69570612235475,73.68143371826751,372.5,8.5,336.0,1978.0,0.3393688796610711,1.536878356410882e-10,False,8.898584489765526,0.712
mm,2500,CUDA,30,192.49000000000004,5.562164054171474,2.8895859806595006,190.715,2.4174999999999898,188.18,210.56,0.6196326858048848,1.2782516143687092e-07,False,4.394887748979045,0.712
mm,2500,Numba,30,682.1256666666667,42.48137504133192,6.227793076446606,665.6,8.924999999999955,659.38,823.46,0.553186673663182,2.0507715115904593e-08,False,5.76003706257346,0.712
mm,2500,PolyHok,30,508.0,47.46904617566679,9.344300428280864,494.0,27.5,457.0,672.0,0.6143058477709893,1.0960075362326551e-07,False,4.0260709481546755,0.712
mm,3000,CUDA,30,306.45466666666664,20.377946113779277,6.649579311495538,302.53499999999997,1.8249999999999886,300.22,414.05,0.23635012976791958,2.131266192883216e-11,False,9.401318869263953,0.712
mm,3000,Numba,30,1002.7253333333335,127.79028487528207,12.744296032740309,970.1800000000001,11.677500000000009,961.06,1648.31,0.32803826086981025,1.224414134041032e-10,False,7.901071623092534,0.712
mm,3000,PolyHok,30,625.0666666666667,44.681195098187544,7.148228737977956,608.0,41.75,559.0,794.0,0.7673232433897649,1.757398175775828e-05,False,2.247967355468127,0.712
mm,3500,CUDA,30,564.0016666666667,19.194123217588082,3.403203279704507,559.245,3.1049999999999045,556.19,653.64,0.3709142753175584,2.93573713613444e-10,False,7.686138092694435,0.712
mm,3500,Numba,30,1454.3090000000002,252.5692027578266,17.36695590536994,1396.4250000000002,15.337499999999864,1387.92,2755.66,0.2631126686594082,3.4946179965663576e-11,False,9.249752095305304,0.712
mm,3500,PolyHok,30,875.4,21.60076626993301,2.467530988112064,866.5,24.25,850.0,959.0,0.7888060894625544,4.1261522151379036e-05,False,1.747926864995641,0.712
mm,4000,CUDA,30,755.7013333333335,4.616582355344483,0.6109003850742377,755.185,6.262499999999932,749.16,770.81,0.9156195162413356,0.020677775961215547,False,0.578651227967466,0.712
mm,4000,Numba,30,2012.8026666666665,211.30720793119704,10.498158186621229,1946.155,11.684999999999945,1935.69,3014.47,0.38691533229445674,4.111311810235562e-10,False,7.328796447630538,0.712
mm,4000,PolyHok,30,1706.9,3176.212224191489,186.0807442844624,1083.0,32.5,1025.0,18507.0,0.2029407955853576,1.1689723235357492e-11,False,10.38147704060755,0.712
nbodies,15000,CUDA,30,116.68433333333331,7.6704411073685455,6.573668365106324,115.14500000000001,0.08749999999999147,115.07,157.22,0.20717606247933062,1.2602013014565635e-11,False,10.284856964521225,0.712
nbodies,15000,Numba,30,432.305,65.36609068981382,15.120364254360652,407.155,8.72750000000002,403.13,678.38,0.48790450706834576,4.001442834343647e-09,False,6.80703759509251,0.712
nbodies,15000,PolyHok,30,462.1333333333333,107.72850080205086,23.3111297176971,447.0,9.75,409.0,1026.0,0.2989881112366901,6.917969063837293e-11,False,7.940578482671022,0.712
nbodies,20000,CUDA,30,304.4793333333334,10.511312767297623,3.4522253619723355,298.89,7.890000000000043,298.44,350.13,0.5867166954243297,5.044166088348424e-08,False,4.024249786077753,0.712
nbodies,20000,Numba,30,604.5093333333332,304.52454935220067,50.37549175180103,532.77,19.442499999999995,521.48,2198.16,0.2643627559771434,3.5773659897199347e-11,False,8.823834504619583,0.712
nbodies,20000,PolyHok,30,604.4,108.8328677534883,18.006761706401107,548.0,81.0,538.0,962.0,0.6512918777381111,3.282229499452822e-07,False,4.2990908292562295,0.712
nbodies,25000,CUDA,30,395.6933333333333,1.429206033102809,0.361190324098496,395.48,0.2650000000000432,394.98,403.2,0.2836742772978039,5.1537281092867236e-11,False,8.187463487914435,0.712
nbodies,25000,Numba,30,653.8589999999999,257.38847137258745,39.36452222460614,588.3900000000001,6.659999999999968,584.73,1942.68,0.2895555420609286,5.7676487154212286e-11,False,9.04953577411434,0.712
